United States	6	25	24	22	62	51	63	153	219	303	285	430	299	371	1206	772	2795	3423	4759	3568	5835	8837	10792	10193	13931	16957	18156	19309	18113	22064	22715	27271	26090	35085	30664	25711	42594	22071	31700	31673	34182	32735	28542	24600	26082	27212	29096	29711	29899	24731	29460	26168	26608	37163	29993	33804	28397	23698	23733	25651	31549	29609	29572	29828	19318	22488	22966	31099	25316	26984	24279	17549	21501	20819	26995	22769	32062	13411	24705	23504	22694	20448	24280	26544	15365	24967	16354	19737	21361	18265	23698	26197	15033	24980	14707	20548	29061	29101	17844	17661	17429	20562	21860	22478	25483	21930	18690	28625	22990	27957	32375	32421	27604	26703	34441	37823	40632	44784	44686	41012	35901	43750	54451	52823	57748	52140	44268	46474	50373	64873	59273	66464	62915	60518	59023	61193	67656	72315	75062	67648	63127	58124	63389	70415	72526	75081	64631	61762	54715	60174	66314	68330	68880	59009	47758	50013	50322	53854	56151	62228	54554	48865	40637	55895	56828	53224	56770	54825	42061	38971	39936	46796	45156	47366	45450	38704	33377	37647	46902	47236	45168	43529	38524	32466	43795	40178	45074	49686	45468	34335	26318	23521	33296	37918	46552	40523	35477	34494	34794	42163	44228	49254	42543	37415	39554	49860	41616	42749	46674	49922	36488	34151	39141	45515	47304	50421	49490	36719	39909	40052	53348	55384	58677	53660	45949	46893	47791	60238	63710	70466	53610	47119	60443	60798	63945	74632	83546	83958	63243	63977	72731	82615	90524	100177	89002	69742	86608	88808	107447	118482	133854	94164	105294	123455	136789	144000	158230	181330	156838	138025	151855	164382	165087	185095	192673	184591	147840	157531	165282	181619	146913	172398	143333	152608	152022	178395	196227	219187	214099	206992	174387	186215	217046	231396	203225	244011	213305	181032	204748	201776	237290	230953	403359
California	0	9	8	7	9	11	0	54	25	17	23	49	40	47	58	78	149	56	330	322	230	175	222	580	471	795	953	529	480	1170	1222	24	1036	2833	2	1412	898	1529	1092	1352	1163	1143	1179	554	990	1086	1758	1346	1435	0	2015	2283	2135	1973	1885	1883	1027	1300	1567	1469	2417	1525	1755	1419	1321	1275	2603	1799	1898	2049	2119	1259	1443	1759	2023	1772	1857	2046	1591	1365	2262	2140	2247	2187	2079	1848	2175	2247	2717	2189	2992	3705	2423	2304	2377	2120	3094	3115	2796	2507	2170	2702	3090	2702	3660	3212	2597	2108	3455	4084	4317	3893	4515	4230	5019	7149	5349	4890	5972	4810	5307	6367	9740	7538	8040	6510	5410	11529	6090	11694	7031	7798	8047	8460	8358	7346	11126	8544	9986	9199	9329	6846	9231	12807	12040	9718	10066	8259	6891	6000	8755	10197	8086	6542	9032	5739	4526	5295	5258	8436	7371	8373	7751	12500	11645	7085	7934	12614	7873	6469	4636	6164	5920	5585	6556	6777	4946	4480	6004	4430	5329	4981	6070	4176	3712	4255	5125	5106	4956	4905	3091	2676	1616	3338	3326	4107	4625	2855	2235	2950	3238	3630	4304	4265	3294	2630	3146	3170	3400	4197	4071	2955	2162	3200	3062	3590	2159	4293	3055	1677	2764	3575	3806	4170	3803	3449	2378	2666	3329	3075	2979	2862	3474	3286	3707	2940	6141	5945	5219	2981	3188	4515	4191	4014	5087	4529	4094	4044	5338	4566	6518	5863	7682	7212	5367	7464	6927	6893	9875	10968	9890	8743	9811	11478	13005	15442	14319	8337	15329	18350	14640	12635	11996	15614	14034	12221	20759	18591	22018	25068	30075	24735	23272	30851	29677	35468	35729	30334	33278	32326	53711	52281	41012
Colorado	0	0	0	0	1	1	6	0	4	5	17	15	0	0	95	16	23	33	61	86	112	116	129	201	165	344	304	327	246	320	339	376	386	445	392	385	222	257	226	547	163	528	410	388	250	339	302	465	386	201	385	349	457	357	1002	684	482	448	440	437	507	486	452	414	344	439	421	580	475	523	316	103	356	310	361	369	380	286	298	304	353	369	334	482	200	89	277	492	126	492	485	280	199	211	272	300	255	233	153	182	164	152	148	175	195	113	169	143	231	228	286	162	190	166	188	262	324	317	226	285	204	204	314	323	260	254	199	192	407	452	409	666	400	322	329	444	469	571	618	444	354	424	493	639	616	666	809	547	229	749	482	408	605	458	449	252	426	594	448	457	431	336	379	402	315	373	409	300	338	194	261	270	329	356	297	250	208	459	194	349	430	268	182	201	351	244	268	368	334	285	213	187	246	265	307	415	417	375	400	587	459	605	606	501	542	654	616	548	709	584	569	411	535	511	682	680	0	1178	461	654	731	863	834	1023	819	576	1048	692	1141	1312	1139	933	1072	1208	1267	1373	1350	1828	1689	2211	1433	1475	1806	2412	2924	0	4797	2562	2928	3369	3463	3498	3017	3553	3890	3975	5197	6439	5196	4183	4296	4331	4650	6107	5765	6113	3921	3689	4150	4191	6053	4270	4330	3489	4133	4405	3862	6037	5013	5125	3234	4037	3971	3757	4649	4678	3961	2559	2911	2278	3334	3698	3693
Washington	4	7	9	12	31	9	23	34	26	105	99	91	111	74	66	61	161	257	189	148	269	203	225	248	111	627	516	587	196	390	0	423	364	1283	625	0	345	1364	415	511	279	337	187	127	156	89	369	293	357	0	295	197	212	259	224	342	202	165	156	228	257	310	366	182	277	132	311	326	157	286	217	231	208	182	261	178	336	146	178	200	160	146	148	320	243	237	116	225	358	307	278	353	275	180	327	245	264	429	307	312	313	288	137	392	367	296	324	373	253	408	409	624	455	190	516	483	498	488	549	348	501	571	611	716	627	469	651	1087	435	521	640	637	0	1438	1101	547	742	1267	754	959	920	797	832	672	762	815	1025	786	686	884	790	808	0	1738	631	543	664	705	833	670	936	549	575	504	551	637	800	746	576	260	543	425	700	390	816	417	359	334	456	542	598	578	441	315	304	438	479	479	501	399	310	0	464	458	544	465	350	312	327	347	386	404	597	349	300	345	509	536	988	604	439	369	404	480	594	694	609	455	402	387	545	710	642	475	827	0	913	734	676	709	777	530	460	489	724	651	820	919	649	587	527	716	814	1016	928	814	1039	657	1469	1070	1691	1770	1320	1239	1441	0	3345	2142	2233	2309	1492	2589	1303	1987	2132	1717	0	6277	3482	2887	0	4261	2467	2066	2319	2197	3126	2095	1853	1503	1654	6957	2923	2536	2550	3141	4181	2328	1734	1272	9196	2940	3063
Oregon	0	2	0	0	0	0	4	7	0	1	4	5	0	0	15	8	18	10	13	26	23	24	30	18	57	50	98	65	69	58	84	46	90	73	100	69	64	49	58	82	50	76	80	57	49	30	73	49	59	66	46	46	57	68	50	76	58	43	31	61	64	69	56	45	79	80	77	73	79	92	68	58	72	58	63	62	71	11	64	39	75	16	47	24	39	22	18	71	48	45	54	58	59	33	64	75	96	92	146	114	66	72	177	140	158	101	184	278	120	148	206	178	187	146	191	170	124	250	276	247	144	171	275	363	342	294	300	165	210	214	369	266	397	319	268	367	276	428	293	347	430	268	292	255	319	391	388	266	330	328	305	410	362	324	280	269	333	279	247	411	374	262	216	286	248	278	313	405	726	0	225	194	295	256	289	227	218	236	180	190	293	239	261	159	233	129	261	265	255	188	146	165	116	183	211	291	181	147	178	188	210	282	257	202	194	318	190	362	449	267	239	174	297	218	353	301	348	259	279	291	294	482	410	0	729	212	313	380	365	410	381	216	262	342	307	367	538	0	753	335	372	420	565	595	533	508	549	482	589	790	769	979	861	707	754	861	1109	1058	1081	862	766	924	1099	1204	1302	1493	1502	1163	1000	1170	1503	826	1674	1614	1311	1223	1506	1133	2144	1806	1253	1292	1294	1205	1551	1582	1419	1014	1157	1082	1530	1314	1372
New York City	0	1	0	0	1	0	0	10	5	19	17	42	0	55	119	75	1527	1683	1597	0	1060	2834	4074	2478	4414	3101	3585	4059	2718	4613	3684	6691	1245	6582	4561	4105	3821	8100	4927	2360	8593	5552	4900	3605	3278	5982	1492	4583	5874	1766	5086	3561	0	7704	0	4437	2628	2896	1613	2152	2347	2293	2378	3651	0	1189	1565	1421	1377	2680	4896	657	0	887	1087	1555	7392	0	665	6082	456	0	1111	6248	0	5920	731	894	781	0	855	5662	0	5731	0	513	510	5688	444	330	425	382	440	0	476	284	443	5456	284	356	299	558	245	332	286	327	384	315	348	222	215	343	359	439	348	294	207	312	198	391	317	330	328	277	270	369	394	334	331	271	319	0	651	360	157	529	90	222	425	309	317	286	314	199	189	318	349	286	401	244	320	248	236	370	428	327	0	719	223	188	256	303	201	217	295	184	256	187	232	311	255	242	218	295	250	325	221	303	0	294	211	202	481	201	770	0	423	344	258	294	346	635	193	322	294	227	397	430	438	348	369	388	529	705	607	670	548	444	502	652	460	692	723	502	356	451	544	700	591	634	0	1279	377	834	597	504	2091	753	457	729	681	954	1311	946	577	629	737	930	799	1330	1327	1084	1451	1174	1160	1746	1652	1536	2052	1258	1822	1703	1770	1930	1954	1778	5693	1893	1937	2244	2639	2190	1744	2646	3628	3064	3036	4106	2947	3359	2717	3351	4567	3201	3490	3636	2982	2847	3820	3302	3058	4183	2990
Florida	0	1	1	0	1	0	3	0	13	0	7	5	0	24	81	6	53	104	94	117	196	231	204	232	488	491	702	823	891	721	1001	1005	1199	1231	1248	788	1253	1088	932	1089	1125	997	892	1057	590	881	809	1392	731	801	731	798	664	1052	864	289	684	610	696	332	1372	1038	735	506	928	542	563	826	371	802	0	1094	941	479	808	0	1871	777	854	502	527	1204	776	676	740	879	509	379	0	1196	915	735	651	586	1292	1408	1292	1253	1170	962	1070	1331	1677	1885	2248	2061	1738	2740	2548	3178	3789	4027	3469	2908	3256	5440	4981	8850	9518	8475	5238	5976	6507	10015	9415	11372	9986	6300	7218	9882	8891	11343	10274	15135	12548	9122	10087	13764	11362	10199	12411	10287	9345	9676	10171	12379	12115	9259	8854	9169	9384	9854	8925	9591	7047	4758	5347	5408	7587	7653	8425	6190	4152	5793	8059	6192	6105	6291	3747	2649	3787	4080	4516	4616	4260	3004	2224	2665	2937	3229	3732	3132	2547	1876	7487	2310	3487	3147	3593	2513	1812	1797	2006	2537	3604	3168	2395	1718	2743	2288	3273	3177	3510	2497	1671	2414	2594	2477	2809	2731	1847	728	3209	1880	2551	2610	2726	1813	1405	2202	2544	3246	2853	0	5414	1519	2657	2808	3286	3365	3968	2474	1691	3556	2106	5461	3618	4381	2348	3336	4226	4005	4111	5383	2283	4805	4569	4553	4332	6120	5150	4380	6619	3845	4282	5669	5504	6760	4405	9820	4530	7285	7727	8882	8831	8175	6374	6114	8102	8126	16809	0	6062	7131	6426	8540	9890	10656	9898	10198	8175	7537	7801	9411	11071	11409	10385	8762	8343	9296	11282	13102	12827
Texas	0	0	0	0	3	2	0	1	7	2	8	1	12	7	8	6	7	19	60	258	106	0	0	208	259	422	335	321	500	325	389	731	672	661	780	702	464	986	1091	877	1441	890	923	422	718	868	963	916	889	663	535	738	873	875	862	967	858	666	874	883	1033	1142	1323	996	784	1037	1053	968	1219	1251	1009	1000	1179	1355	1448	1347	1801	785	909	1219	1411	945	1181	1060	839	623	589	1361	1855	1230	1332	1949	593	1688	1703	1649	1693	1940	1425	638	1637	2504	1826	2097	2331	1843	1254	4098	3129	3516	3454	4430	3866	3280	5489	5551	5996	5707	5747	5352	4288	6975	8076	7915	7555	8258	3449	5318	10028	9979	9782	9765	10351	8196	5655	10745	7307	10291	14916	10158	7300	7404	9305	9879	9507	8701	6020	5810	4267	8342	9042	8800	8839	9539	0	11529	9167	8706	7598	7039	6959	4879	4455	9803	6200	6755	7018	8245	6204	7908	7282	7024	5303	5021	5559	4398	2847	6346	5407	5600	4031	4762	3824	2615	4364	4334	3680	5482	4486	2995	2060	1421	4000	4018	3547	4233	1845	4011	5301	6026	4047	3422	3827	2466	9853	17820	3392	4320	0	9519	1694	4090	4062	5683	3534	3503	7006	2884	3409	4132	4121	4238	4036	4230	2418	2648	5289	4667	4726	5870	4885	3216	4748	5030	5252	6291	6472	6499	4304	4700	7292	5627	6826	6631	7145	4259	4402	7516	9627	8594	7545	8010	5685	6785	11211	11150	8461	11142	9177	6561	7168	11624	8870	12500	11815	12826	8751	6704	14392	15609	12636	3429	4024	6204	10838	16139	16424	14439	13699	11938	8573	8891	14290	11170	12458	11746	13700	6635	8883	15393	15476	3258	184758
Pennsylvania	0	0	0	0	0	2	2	2	4	2	4	7	6	18	16	13	20	37	52	84	102	108	165	207	277	560	531	533	642	693	756	962	1211	1405	1596	1493	1470	1579	1680	1989	1752	1676	1177	1366	1146	1145	1245	1707	1628	1214	948	1296	1156	1369	1599	1397	1116	885	1214	1102	1397	1208	1334	962	825	865	888	1070	1323	1078	1295	543	837	707	938	986	989	623	1432	270	476	1846	725	730	473	451	780	625	693	680	511	356	612	511	537	443	701	506	351	493	410	467	686	463	0	659	362	335	418	526	504	464	456	0	1005	579	600	621	505	492	618	636	832	667	634	479	450	995	849	719	1009	813	577	476	929	994	781	1032	763	786	711	1027	631	962	1213	1054	800	839	1120	834	860	970	888	0	654	565	854	705	807	758	813	760	601	828	849	991	829	850	660	384	735	570	791	693	796	619	426	561	501	620	835	843	670	521	770	816	1160	891	963	691	547	496	931	587	1008	920	969	289	1151	776	933	760	1162	733	234	834	898	853	806	1029	918	676	988	1153	1156	1161	0	2251	672	1036	1309	1376	1380	1742	1166	1088	1342	1276	1598	1566	1857	1269	1103	1557	1425	2063	2219	2043	1666	1407	2751	2228	2202	2641	2510	1909	2060	2875	2795	2900	3384	4035	2909	3402	4361	4711	5488	5531	5551	5199	4476	5900	6339	7126	6808	6778	7075	4762	6669	6759	8425	7360	8053	5529	4282	5662	8291	11406	11763	12884	8630	6330	10170	8703	11972	12745	11084	10684	7962	9556	10049	9966	9320
